Day,widget_id,Hour Of Day,Visits,Conversions
11.4.2024,281289,12:00 - 12:59,10,0
15.4.2024,281289,08:00 - 08:59,5,0
15.4.2024,281289,10:00 - 10:59,4,0
15.4.2024,281289,07:00 - 07:59,2,0
11.4.2024,281289,09:00 - 09:59,1,0
11.4.2024,281289,14:00 - 14:59,1,0
15.4.2024,281289,11:00 - 11:59,1,0
15.4.2024,281282,21:00 - 21:59,10,0
11.4.2024,281282,08:00 - 08:59,6,0
11.4.2024,281282,09:00 - 09:59,6,0
12.4.2024,281282,08:00 - 08:59,6,0
5.4.2024,281282,19:00 - 19:59,5,0
15.4.2024,281282,20:00 - 20:59,5,0
5.4.2024,281282,21:00 - 21:59,4,0
11.4.2024,281282,10:00 - 10:59,4,0
11.4.2024,281282,11:00 - 11:59,3,0
11.4.2024,281282,12:00 - 12:59,3,0
11.4.2024,281282,15:00 - 15:59,3,0
11.4.2024,281282,20:00 - 20:59,3,0
5.4.2024,281282,20:00 - 20:59,2,0
11.4.2024,281282,14:00 - 14:59,2,0
11.4.2024,281282,16:00 - 16:59,2,0
11.4.2024,281282,18:00 - 18:59,2,0
5.4.2024,281282,18:00 - 18:59,1,0
11.4.2024,281282,07:00 - 07:59,1,0
11.4.2024,281282,13:00 - 13:59,1,0
11.4.2024,281282,19:00 - 19:59,1,0
12.4.2024,281282,09:00 - 09:59,1,0
15.4.2024,281276,18:00 - 18:59,4,0
4.4.2024,281276,09:00 - 09:59,1,0
12.4.2024,281276,11:00 - 11:59,1,0
14.4.2024,281276,17:00 - 17:59,1,0
15.4.2024,281276,11:00 - 11:59,1,0
15.4.2024,281276,13:00 - 13:59,1,0
15.4.2024,281276,15:00 - 15:59,1,0
15.4.2024,281276,16:00 - 16:59,1,0
11.4.2024,281274,17:00 - 17:59,1,0
11.4.2024,281274,18:00 - 18:59,1,0
12.4.2024,281274,13:00 - 13:59,1,0
12.4.2024,281270,09:00 - 09:59,4,0
12.4.2024,281270,12:00 - 12:59,4,0
4.4.2024,281270,11:00 - 11:59,3,0
11.4.2024,281270,19:00 - 19:59,3,0
11.4.2024,281270,20:00 - 20:59,3,0
11.4.2024,281270,21:00 - 21:59,3,0
12.4.2024,281270,17:00 - 17:59,3,1
13.4.2024,281270,09:00 - 09:59,3,0
13.4.2024,281270,10:00 - 10:59,3,0
13.4.2024,281270,12:00 - 12:59,3,0
5.4.2024,281270,10:00 - 10:59,2,0
12.4.2024,281270,08:00 - 08:59,2,0
12.4.2024,281270,11:00 - 11:59,2,0
12.4.2024,281270,15:00 - 15:59,2,0
12.4.2024,281270,16:00 - 16:59,2,0
12.4.2024,281270,18:00 - 18:59,2,0
13.4.2024,281270,15:00 - 15:59,2,0
13.4.2024,281270,16:00 - 16:59,2,0
4.4.2024,281270,08:00 - 08:59,1,0
4.4.2024,281270,12:00 - 12:59,1,0
5.4.2024,281270,09:00 - 09:59,1,0
5.4.2024,281270,14:00 - 14:59,1,0
12.4.2024,281270,10:00 - 10:59,1,0
12.4.2024,281270,13:00 - 13:59,1,0
12.4.2024,281270,14:00 - 14:59,1,0
12.4.2024,281270,19:00 - 19:59,1,0
13.4.2024,281270,07:00 - 07:59,1,0
13.4.2024,281270,08:00 - 08:59,1,0
13.4.2024,281270,11:00 - 11:59,1,0
13.4.2024,281270,13:00 - 13:59,1,0
13.4.2024,281270,19:00 - 19:59,1,0
4.4.2024,281267,11:00 - 11:59,2,0
12.4.2024,281267,09:00 - 09:59,2,0
13.4.2024,281267,10:00 - 10:59,2,0
13.4.2024,281267,18:00 - 18:59,2,0
14.4.2024,281267,11:00 - 11:59,2,0
4.4.2024,281267,08:00 - 08:59,1,0
4.4.2024,281267,13:00 - 13:59,1,0
4.4.2024,281267,20:00 - 20:59,1,0
5.4.2024,281267,11:00 - 11:59,1,0
11.4.2024,281267,18:00 - 18:59,1,0
11.4.2024,281267,21:00 - 21:59,1,0
12.4.2024,281267,13:00 - 13:59,1,0
12.4.2024,281267,20:00 - 20:59,1,0
14.4.2024,281267,09:00 - 09:59,1,0
4.4.2024,281262,09:00 - 09:59,8,0
15.4.2024,281262,07:00 - 07:59,4,0
15.4.2024,281262,10:00 - 10:59,4,0
4.4.2024,281262,10:00 - 10:59,3,0
15.4.2024,281262,08:00 - 08:59,3,0
5.4.2024,281262,13:00 - 13:59,2,0
4.4.2024,281262,08:00 - 08:59,1,0
5.4.2024,281262,19:00 - 19:59,1,0
15.4.2024,281262,20:00 - 20:59,1,0
14.4.2024,281261,10:00 - 10:59,6,0
12.4.2024,281261,15:00 - 15:59,5,0
12.4.2024,281261,09:00 - 09:59,3,0
13.4.2024,281261,12:00 - 12:59,3,0
13.4.2024,281261,21:00 - 21:59,3,0
4.4.2024,281261,11:00 - 11:59,2,0
11.4.2024,281261,19:00 - 19:59,2,0
12.4.2024,281261,14:00 - 14:59,2,0
12.4.2024,281261,18:00 - 18:59,2,0
12.4.2024,281261,19:00 - 19:59,2,0
13.4.2024,281261,20:00 - 20:59,2,0
14.4.2024,281261,09:00 - 09:59,2,0
14.4.2024,281261,13:00 - 13:59,2,0
14.4.2024,281261,16:00 - 16:59,2,0
14.4.2024,281261,17:00 - 17:59,2,0
15.4.2024,281261,10:00 - 10:59,2,0
15.4.2024,281261,14:00 - 14:59,2,0
15.4.2024,281261,15:00 - 15:59,2,0
11.4.2024,281261,21:00 - 21:59,1,0
12.4.2024,281261,07:00 - 07:59,1,0
12.4.2024,281261,08:00 - 08:59,1,0
12.4.2024,281261,11:00 - 11:59,1,0
12.4.2024,281261,16:00 - 16:59,1,0
12.4.2024,281261,17:00 - 17:59,1,0
13.4.2024,281261,07:00 - 07:59,1,0
13.4.2024,281261,08:00 - 08:59,1,0
13.4.2024,281261,09:00 - 09:59,1,0
13.4.2024,281261,16:00 - 16:59,1,0
